N36W117.hgt, ew: 18, sw: 18, eo: 342, so: 2556, acv: 100.0%, density: 25, pop: 30, time: 3600000, routing: orpl, degree: 17.44, min_degree: 5, max_degree: 27, diameter: 6, testlog: orpl_xxmmghed_testlog.txt, energy: 0.251326827598, energy_std: 0.84908605881, max_energy: 0.593220338983
N36W117.hgt, ew: 18, sw: 18, eo: 342, so: 2556, acv: 100.0%, density: 25, pop: 30, time: 3600000, routing: rpl, degree: 17.44, min_degree: 5, max_degree: 27, diameter: 6, testlog: rpl_xxmmghed_testlog.txt, energy: 0.104776579353, energy_std: 0.509098308513, max_energy: 0.576271186441
N37W121.hgt, ew: 18, sw: 18, eo: 2592, so: 270, acv: 30.0%, density: 25, pop: 30, time: 3600000, routing: orpl, degree: 8.54, min_degree: 1, max_degree: 17, diameter: 11, testlog: orpl_avptwxot_testlog.txt, energy: 0.305084745763, energy_std: 0.780074029192, max_energy: 2.40677966102
N37W121.hgt, ew: 18, sw: 18, eo: 2592, so: 270, acv: 30.0%, density: 25, pop: 30, time: 3600000, routing: rpl, degree: 8.54, min_degree: 1, max_degree: 17, diameter: 11, testlog: rpl_avptwxot_testlog.txt, energy: 0.0893682588598, energy_std: 0.415697335522, max_energy: 0.898305084746
N37W121.hgt, ew: 18, sw: 18, eo: 3528, so: 360, acv: 60.0%, density: 25, pop: 30, time: 15000
N36W117.hgt, ew: 18, sw: 18, eo: 720, so: 1746, acv: 60.0%, density: 25, pop: 30, time: 3600000, routing: orpl, degree: 11.0, min_degree: 2, max_degree: 25, diameter: 7, testlog: orpl_fflsxrxk_testlog.txt, energy: 0.253552473891, energy_std: 0.729861603531, max_energy: 1.49152542373
N36W117.hgt, ew: 18, sw: 18, eo: 720, so: 1746, acv: 60.0%, density: 25, pop: 30, time: 3600000, routing: rpl, degree: 11.0, min_degree: 2, max_degree: 25, diameter: 7, testlog: rpl_fflsxrxk_testlog.txt, energy: 0.0917651087143, energy_std: 0.459787491337, max_energy: 0.542372881356
N37W122.hgt, ew: 18, sw: 18, eo: 3240, so: 3456, acv: 90.0%, density: 25, pop: 30, time: 3600000, routing: orpl, degree: 14.64, min_degree: 3, max_degree: 25, diameter: 7, testlog: orpl_jjesoisv_testlog.txt, energy: 0.241397021058, energy_std: 0.801004142144, max_energy: 0.661016949153
N37W122.hgt, ew: 18, sw: 18, eo: 3240, so: 3456, acv: 90.0%, density: 25, pop: 30, time: 3600000, routing: rpl, degree: 14.64, min_degree: 3, max_degree: 25, diameter: 7, testlog: rpl_jjesoisv_testlog.txt, energy: 0.0936483478856, energy_std: 0.475342054857, max_energy: 0.271186440678
N36W117.hgt, ew: 18, sw: 18, eo: 2736, so: 3204, acv: 30.0%, density: 25, pop: 30, time: 15000
N36W117.hgt, ew: 18, sw: 18, eo: 270, so: 2592, acv: 30.0%, density: 25, pop: 30, time: 3600000, routing: orpl, degree: 9.64, min_degree: 2, max_degree: 21, diameter: 9, testlog: orpl_pobysxaw_testlog.txt, energy: 0.364834788564, energy_std: 0.922575118589, max_energy: 4.32203389831
N36W117.hgt, ew: 18, sw: 18, eo: 270, so: 2592, acv: 30.0%, density: 25, pop: 30, time: 3600000, routing: rpl, degree: 9.64, min_degree: 2, max_degree: 21, diameter: 9, testlog: rpl_pobysxaw_testlog.txt, energy: 0.118644067797, energy_std: 0.471546077245, max_energy: 1.18644067797
N37W121.hgt, ew: 18, sw: 18, eo: 1530, so: 378, acv: 60.0%, density: 25, pop: 30, time: 3600000, routing: orpl, degree: 13.36, min_degree: 2, max_degree: 24, diameter: 8, testlog: orpl_rabigdza_testlog.txt
N37W121.hgt, ew: 18, sw: 18, eo: 1530, so: 378, acv: 60.0%, density: 25, pop: 30, time: 3600000, routing: rpl, degree: 13.36, min_degree: 2, max_degree: 24, diameter: 8, testlog: rpl_rabigdza_testlog.txt, energy: 0.165896250642, energy_std: 0.591882330557, max_energy: 1.45762711864
N37W122.hgt, ew: 18, sw: 18, eo: 1998, so: 18, acv: 90.0%, density: 25, pop: 30, time: 3600000, routing: orpl, degree: 16.34, min_degree: 3, max_degree: 27, diameter: 7, testlog: orpl_rarydfvp_testlog.txt, energy: 0.216401301147, energy_std: 0.696368248439, max_energy: 0.457627118644
N37W122.hgt, ew: 18, sw: 18, eo: 1998, so: 18, acv: 90.0%, density: 25, pop: 30, time: 3600000, routing: rpl, degree: 16.34, min_degree: 3, max_degree: 27, diameter: 7, testlog: rpl_rarydfvp_testlog.txt, energy: 0.0986132511556, energy_std: 0.488385698189, max_energy: 0.406779661017
N36W117.hgt, ew: 18, sw: 18, eo: 2790, so: 144, acv: 60.0%, density: 25, pop: 30, time: 3600000, routing: orpl, degree: 11.28, min_degree: 1, max_degree: 22, diameter: 9, testlog: orpl_uxochjfp_testlog.txt, energy: 0.292073275124, energy_std: 0.865726149288, max_energy: 3.28813559322
N36W117.hgt, ew: 18, sw: 18, eo: 2790, so: 144, acv: 60.0%, density: 25, pop: 30, time: 3600000, routing: rpl, degree: 11.28, min_degree: 1, max_degree: 22, diameter: 9, testlog: rpl_uxochjfp_testlog.txt, energy: 0.090566683787, energy_std: 0.428222442879, max_energy: 1.05084745763
N36W117.hgt, ew: 18, sw: 18, eo: 378, so: 1548, acv: 90.0%, density: 25, pop: 30, time: 3600000, routing: orpl, degree: 16.22, min_degree: 4, max_degree: 24, diameter: 7, testlog: orpl_vtvtgyvh_testlog.txt, energy: 0.266392740969, energy_std: 0.87083003922, max_energy: 0.915254237288
N36W117.hgt, ew: 18, sw: 18, eo: 378, so: 1548, acv: 90.0%, density: 25, pop: 30, time: 3600000, routing: rpl, degree: 16.22, min_degree: 4, max_degree: 24, diameter: 7, testlog: rpl_vtvtgyvh_testlog.txt, energy: 0.105118986475, energy_std: 0.521979976393, max_energy: 0.542372881356
N37W122.hgt, ew: 18, sw: 18, eo: 882, so: 3492, acv: 30.0%, density: 25, pop: 30, time: 3600000, routing: orpl, degree: 10.3, min_degree: 1, max_degree: 19, diameter: 9, testlog: orpl_zbriexgc_testlog.txt, energy: 0.417051874679, energy_std: 0.937168512031, max_energy: 3.93220338983
N37W122.hgt, ew: 18, sw: 18, eo: 882, so: 3492, acv: 30.0%, density: 25, pop: 30, time: 3600000, routing: rpl, degree: 10.3, min_degree: 1, max_degree: 19, diameter: 9, testlog: rpl_zbriexgc_testlog.txt, energy: 0.148262283856, energy_std: 0.485997186438, max_energy: 1.01694915254
