Connected 0.0%, nodes: 100, density: 618, acv: 3.0%, degree: 3.0216
Connected 0.0%, nodes: 100, density: 619, acv: 3.0%, degree: 2.948
Connected 4.0%, nodes: 100, density: 623, acv: 3.0%, degree: 2.9992
Connected 0.0%, nodes: 100, density: 624, acv: 3.0%, degree: 2.9368
Connected 0.0%, nodes: 100, density: 625, acv: 3.0%, degree: 2.98
Connected 0.0%, nodes: 100, density: 626, acv: 3.0%, degree: 2.9528
Connected 0.0%, nodes: 100, density: 627, acv: 3.0%, degree: 2.932
Connected 0.0%, nodes: 100, density: 628, acv: 3.0%, degree: 3.0312
Connected 4.0%, nodes: 100, density: 315, acv: 4.0%, degree: 3.8104
Connected 12.0%, nodes: 100, density: 316, acv: 4.0%, degree: 3.8552
Connected 16.0%, nodes: 100, density: 471, acv: 4.0%, degree: 3.8248
Connected 16.0%, nodes: 100, density: 472, acv: 4.0%, degree: 3.944
Connected 28.0%, nodes: 100, density: 549, acv: 4.0%, degree: 4.0568
Connected 24.0%, nodes: 100, density: 550, acv: 4.0%, degree: 4.0568
Connected 24.0%, nodes: 100, density: 588, acv: 4.0%, degree: 3.972
Connected 24.0%, nodes: 100, density: 589, acv: 4.0%, degree: 3.9888
Connected 20.0%, nodes: 100, density: 608, acv: 4.0%, degree: 3.9496
Connected 20.0%, nodes: 100, density: 609, acv: 4.0%, degree: 3.9152
Connected 4.0%, nodes: 100, density: 618, acv: 4.0%, degree: 3.9744
Connected 20.0%, nodes: 100, density: 619, acv: 4.0%, degree: 3.9976
Connected 12.0%, nodes: 100, density: 623, acv: 4.0%, degree: 3.9728
Connected 16.0%, nodes: 100, density: 624, acv: 4.0%, degree: 4.0392
Connected 12.0%, nodes: 100, density: 625, acv: 4.0%, degree: 3.8832
Connected 20.0%, nodes: 100, density: 626, acv: 4.0%, degree: 3.8776
Connected 16.0%, nodes: 100, density: 627, acv: 4.0%, degree: 3.924
Connected 16.0%, nodes: 100, density: 628, acv: 4.0%, degree: 3.9784
Connected 64.0%, nodes: 100, density: 315, acv: 5.0%, degree: 4.796
Connected 64.0%, nodes: 100, density: 316, acv: 5.0%, degree: 4.8872
Connected 48.0%, nodes: 100, density: 471, acv: 5.0%, degree: 4.8576
Connected 44.0%, nodes: 100, density: 472, acv: 5.0%, degree: 4.9592
Connected 76.0%, nodes: 100, density: 549, acv: 5.0%, degree: 5.0168
Connected 44.0%, nodes: 100, density: 550, acv: 5.0%, degree: 4.9128
Connected 68.0%, nodes: 100, density: 588, acv: 5.0%, degree: 5.1112
Connected 52.0%, nodes: 100, density: 589, acv: 5.0%, degree: 5.0584
Connected 48.0%, nodes: 100, density: 608, acv: 5.0%, degree: 4.9728
Connected 48.0%, nodes: 100, density: 609, acv: 5.0%, degree: 4.8672
Connected 52.0%, nodes: 100, density: 618, acv: 5.0%, degree: 5.0552
Connected 60.0%, nodes: 100, density: 619, acv: 5.0%, degree: 4.9776
Connected 64.0%, nodes: 100, density: 623, acv: 5.0%, degree: 4.9336
Connected 52.0%, nodes: 100, density: 624, acv: 5.0%, degree: 4.8456
Connected 48.0%, nodes: 100, density: 625, acv: 5.0%, degree: 4.8528
Connected 72.0%, nodes: 100, density: 626, acv: 5.0%, degree: 4.9464
Connected 44.0%, nodes: 100, density: 627, acv: 5.0%, degree: 4.94
Connected 40.0%, nodes: 100, density: 628, acv: 5.0%, degree: 5.0224
Connected 68.0%, nodes: 100, density: 315, acv: 6.0%, degree: 5.7928
Connected 76.0%, nodes: 100, density: 316, acv: 6.0%, degree: 5.7992
Connected 92.0%, nodes: 100, density: 471, acv: 6.0%, degree: 5.9824
Connected 96.0%, nodes: 100, density: 472, acv: 6.0%, degree: 6.0368
Connected 88.0%, nodes: 100, density: 549, acv: 6.0%, degree: 6.0448
Connected 72.0%, nodes: 100, density: 550, acv: 6.0%, degree: 5.9976
Connected 68.0%, nodes: 100, density: 588, acv: 6.0%, degree: 5.9104
Connected 84.0%, nodes: 100, density: 589, acv: 6.0%, degree: 5.8944
Connected 76.0%, nodes: 100, density: 608, acv: 6.0%, degree: 5.9864
Connected 88.0%, nodes: 100, density: 609, acv: 6.0%, degree: 5.9144
Connected 88.0%, nodes: 100, density: 618, acv: 6.0%, degree: 5.9896
Connected 80.0%, nodes: 100, density: 619, acv: 6.0%, degree: 5.9384
Connected 88.0%, nodes: 100, density: 623, acv: 6.0%, degree: 5.9024
Connected 64.0%, nodes: 100, density: 624, acv: 6.0%, degree: 5.9976
Connected 80.0%, nodes: 100, density: 625, acv: 6.0%, degree: 5.9424
Connected 76.0%, nodes: 100, density: 626, acv: 6.0%, degree: 6.0536
Connected 72.0%, nodes: 100, density: 627, acv: 6.0%, degree: 5.8696
Connected 80.0%, nodes: 100, density: 628, acv: 6.0%, degree: 5.9336
Connected 96.0%, nodes: 100, density: 315, acv: 7.0%, degree: 6.8264
Connected 88.0%, nodes: 100, density: 316, acv: 7.0%, degree: 6.8736
Connected 96.0%, nodes: 100, density: 471, acv: 7.0%, degree: 6.9168
Connected 96.0%, nodes: 100, density: 472, acv: 7.0%, degree: 6.8016
Connected 92.0%, nodes: 100, density: 549, acv: 7.0%, degree: 6.9256
Connected 92.0%, nodes: 100, density: 550, acv: 7.0%, degree: 6.9392
Connected 88.0%, nodes: 100, density: 588, acv: 7.0%, degree: 6.8928
Connected 92.0%, nodes: 100, density: 589, acv: 7.0%, degree: 6.8888
Connected 84.0%, nodes: 100, density: 608, acv: 7.0%, degree: 6.9016
Connected 88.0%, nodes: 100, density: 609, acv: 7.0%, degree: 6.84
Connected 100.0%, nodes: 100, density: 618, acv: 7.0%, degree: 6.952
Connected 92.0%, nodes: 100, density: 613, acv: 7.0%, degree: 6.9408
Connected 92.0%, nodes: 100, density: 614, acv: 7.0%, degree: 6.9152
Connected 96.0%, nodes: 100, density: 615, acv: 7.0%, degree: 6.8584
Connected 100.0%, nodes: 100, density: 616, acv: 7.0%, degree: 7.004
Connected 100.0%, nodes: 100, density: 315, acv: 8.0%, degree: 7.728
Connected 64.0%, nodes: 100, density: 158, acv: 8.0%, degree: 5.944
Connected 84.0%, nodes: 100, density: 159, acv: 8.0%, degree: 5.9936
Connected 100.0%, nodes: 100, density: 236, acv: 8.0%, degree: 7.084
Connected 88.0%, nodes: 100, density: 197, acv: 8.0%, degree: 6.5544
Connected 96.0%, nodes: 100, density: 198, acv: 8.0%, degree: 6.5512
Connected 96.0%, nodes: 100, density: 216, acv: 8.0%, degree: 7.1272
Connected 80.0%, nodes: 100, density: 217, acv: 8.0%, degree: 6.8784
Connected 92.0%, nodes: 100, density: 226, acv: 8.0%, degree: 6.932
Connected 88.0%, nodes: 100, density: 227, acv: 8.0%, degree: 7.1088
Connected 84.0%, nodes: 100, density: 231, acv: 8.0%, degree: 7.2024
Connected 96.0%, nodes: 100, density: 232, acv: 8.0%, degree: 7.0512
Connected 72.0%, nodes: 100, density: 233, acv: 8.0%, degree: 7.0784
Connected 88.0%, nodes: 100, density: 234, acv: 8.0%, degree: 7.1536
Connected 92.0%, nodes: 100, density: 235, acv: 8.0%, degree: 7.0352
Connected 100.0%, nodes: 100, density: 315, acv: 9.0%, degree: 8.7128
Connected 92.0%, nodes: 100, density: 158, acv: 9.0%, degree: 6.5432
Connected 80.0%, nodes: 100, density: 159, acv: 9.0%, degree: 6.8064
Connected 92.0%, nodes: 100, density: 236, acv: 9.0%, degree: 7.9344
Connected 92.0%, nodes: 100, density: 237, acv: 9.0%, degree: 8.1776
Connected 100.0%, nodes: 100, density: 275, acv: 9.0%, degree: 8.5888
Connected 100.0%, nodes: 100, density: 255, acv: 9.0%, degree: 8.32
Connected 100.0%, nodes: 100, density: 245, acv: 9.0%, degree: 8.0648
Connected 92.0%, nodes: 100, density: 240, acv: 9.0%, degree: 8.0344
Connected 96.0%, nodes: 100, density: 241, acv: 9.0%, degree: 8.1024
Connected 100.0%, nodes: 100, density: 242, acv: 9.0%, degree: 8.1864
