Connected 0.0%, nodes: 100, density: 51, acv: 3.0%, degree: 1.0544
Connected 0.0%, nodes: 100, density: 74, acv: 3.0%, degree: 1.3088
Connected 0.0%, nodes: 100, density: 75, acv: 3.0%, degree: 1.4072
Connected 0.0%, nodes: 100, density: 86, acv: 3.0%, degree: 1.576
Connected 0.0%, nodes: 100, density: 87, acv: 3.0%, degree: 1.5512
Connected 0.0%, nodes: 100, density: 92, acv: 3.0%, degree: 1.6144
Connected 0.0%, nodes: 100, density: 93, acv: 3.0%, degree: 1.6304
Connected 0.0%, nodes: 100, density: 95, acv: 3.0%, degree: 1.6232
Connected 0.0%, nodes: 100, density: 96, acv: 3.0%, degree: 1.6752
Connected 0.0%, nodes: 100, density: 97, acv: 3.0%, degree: 1.6168
Connected 0.0%, nodes: 100, density: 98, acv: 3.0%, degree: 1.6848
Connected 0.0%, nodes: 100, density: 99, acv: 3.0%, degree: 1.7128
Connected 0.0%, nodes: 100, density: 50, acv: 4.0%, degree: 1.3416
Connected 0.0%, nodes: 100, density: 51, acv: 4.0%, degree: 1.4616
Connected 0.0%, nodes: 100, density: 74, acv: 4.0%, degree: 1.844
Connected 0.0%, nodes: 100, density: 75, acv: 4.0%, degree: 1.8536
Connected 0.0%, nodes: 100, density: 86, acv: 4.0%, degree: 2.0104
Connected 0.0%, nodes: 100, density: 87, acv: 4.0%, degree: 2.044
Connected 0.0%, nodes: 100, density: 92, acv: 4.0%, degree: 2.0808
Connected 0.0%, nodes: 100, density: 93, acv: 4.0%, degree: 2.2472
Connected 0.0%, nodes: 100, density: 95, acv: 4.0%, degree: 2.2048
Connected 0.0%, nodes: 100, density: 96, acv: 4.0%, degree: 2.224
Connected 0.0%, nodes: 100, density: 97, acv: 4.0%, degree: 2.2368
Connected 0.0%, nodes: 100, density: 98, acv: 4.0%, degree: 2.2648
Connected 0.0%, nodes: 100, density: 99, acv: 4.0%, degree: 2.1488
Connected 0.0%, nodes: 100, density: 50, acv: 5.0%, degree: 1.6296
Connected 0.0%, nodes: 100, density: 51, acv: 5.0%, degree: 1.7408
Connected 0.0%, nodes: 100, density: 74, acv: 5.0%, degree: 2.228
Connected 0.0%, nodes: 100, density: 75, acv: 5.0%, degree: 2.384
Connected 0.0%, nodes: 100, density: 86, acv: 5.0%, degree: 2.5248
Connected 0.0%, nodes: 100, density: 87, acv: 5.0%, degree: 2.5864
Connected 0.0%, nodes: 100, density: 92, acv: 5.0%, degree: 2.6112
Connected 0.0%, nodes: 100, density: 93, acv: 5.0%, degree: 2.6808
Connected 0.0%, nodes: 100, density: 95, acv: 5.0%, degree: 2.6848
Connected 0.0%, nodes: 100, density: 96, acv: 5.0%, degree: 2.8496
Connected 0.0%, nodes: 100, density: 97, acv: 5.0%, degree: 2.7704
Connected 0.0%, nodes: 100, density: 98, acv: 5.0%, degree: 2.7264
Connected 0.0%, nodes: 100, density: 99, acv: 5.0%, degree: 2.7432
Connected 0.0%, nodes: 100, density: 50, acv: 6.0%, degree: 2.0128
Connected 0.0%, nodes: 100, density: 51, acv: 6.0%, degree: 2.0352
Connected 0.0%, nodes: 100, density: 74, acv: 6.0%, degree: 2.696
Connected 0.0%, nodes: 100, density: 75, acv: 6.0%, degree: 2.8168
Connected 0.0%, nodes: 100, density: 86, acv: 6.0%, degree: 3.1728
Connected 0.0%, nodes: 100, density: 87, acv: 6.0%, degree: 3.072
Connected 0.0%, nodes: 100, density: 92, acv: 6.0%, degree: 3.176
Connected 4.0%, nodes: 100, density: 93, acv: 6.0%, degree: 3.1096
Connected 0.0%, nodes: 100, density: 95, acv: 6.0%, degree: 3.308
Connected 0.0%, nodes: 100, density: 96, acv: 6.0%, degree: 3.356
Connected 0.0%, nodes: 100, density: 97, acv: 6.0%, degree: 3.2896
Connected 0.0%, nodes: 100, density: 98, acv: 6.0%, degree: 3.4096
Connected 4.0%, nodes: 100, density: 99, acv: 6.0%, degree: 3.3224
Connected 0.0%, nodes: 100, density: 50, acv: 7.0%, degree: 2.3624
Connected 0.0%, nodes: 100, density: 51, acv: 7.0%, degree: 2.3776
Connected 0.0%, nodes: 100, density: 74, acv: 7.0%, degree: 3.2256
Connected 0.0%, nodes: 100, density: 75, acv: 7.0%, degree: 3.212
Connected 0.0%, nodes: 100, density: 86, acv: 7.0%, degree: 3.5944
Connected 0.0%, nodes: 100, density: 87, acv: 7.0%, degree: 3.468
Connected 0.0%, nodes: 100, density: 92, acv: 7.0%, degree: 3.7984
Connected 0.0%, nodes: 100, density: 93, acv: 7.0%, degree: 3.8032
Connected 8.0%, nodes: 100, density: 95, acv: 7.0%, degree: 3.916
Connected 0.0%, nodes: 100, density: 96, acv: 7.0%, degree: 3.8472
Connected 0.0%, nodes: 100, density: 97, acv: 7.0%, degree: 3.9168
Connected 8.0%, nodes: 100, density: 98, acv: 7.0%, degree: 3.8544
Connected 8.0%, nodes: 100, density: 99, acv: 7.0%, degree: 3.8496
Connected 0.0%, nodes: 100, density: 50, acv: 8.0%, degree: 2.6592
Connected 0.0%, nodes: 100, density: 51, acv: 8.0%, degree: 2.7488
Connected 4.0%, nodes: 100, density: 74, acv: 8.0%, degree: 3.7208
Connected 4.0%, nodes: 100, density: 75, acv: 8.0%, degree: 3.7024
Connected 0.0%, nodes: 100, density: 86, acv: 8.0%, degree: 4.0752
Connected 8.0%, nodes: 100, density: 87, acv: 8.0%, degree: 4.2304
Connected 0.0%, nodes: 100, density: 92, acv: 8.0%, degree: 4.1752
Connected 20.0%, nodes: 100, density: 93, acv: 8.0%, degree: 4.3464
Connected 16.0%, nodes: 100, density: 95, acv: 8.0%, degree: 4.3808
Connected 20.0%, nodes: 100, density: 96, acv: 8.0%, degree: 4.4096
Connected 4.0%, nodes: 100, density: 97, acv: 8.0%, degree: 4.3896
Connected 4.0%, nodes: 100, density: 98, acv: 8.0%, degree: 4.5496
Connected 4.0%, nodes: 100, density: 99, acv: 8.0%, degree: 4.4392
Connected 0.0%, nodes: 100, density: 50, acv: 9.0%, degree: 3.0616
Connected 0.0%, nodes: 100, density: 51, acv: 9.0%, degree: 3.0824
Connected 0.0%, nodes: 100, density: 74, acv: 9.0%, degree: 4.0096
Connected 16.0%, nodes: 100, density: 75, acv: 9.0%, degree: 4.2264
Connected 8.0%, nodes: 100, density: 86, acv: 9.0%, degree: 4.4896
Connected 0.0%, nodes: 100, density: 87, acv: 9.0%, degree: 4.608
Connected 20.0%, nodes: 100, density: 92, acv: 9.0%, degree: 4.8752
Connected 36.0%, nodes: 100, density: 93, acv: 9.0%, degree: 5.06
Connected 36.0%, nodes: 100, density: 95, acv: 9.0%, degree: 4.8328
Connected 8.0%, nodes: 100, density: 96, acv: 9.0%, degree: 4.8328
Connected 28.0%, nodes: 100, density: 97, acv: 9.0%, degree: 4.9288
Connected 36.0%, nodes: 100, density: 98, acv: 9.0%, degree: 5.1128
Connected 36.0%, nodes: 100, density: 99, acv: 9.0%, degree: 5.1424
