Nodes: 501, Area: 10000, Total Time: 127, Terrain Creation: 16, Node LOS Calculations: 111
Nodes: 501, Area: 10000, Total Time: 120, Terrain Creation: 14, Node LOS Calculations: 106
Nodes: 501, Area: 10000, Total Time: 132, Terrain Creation: 14, Node LOS Calculations: 118
Nodes: 501, Area: 10000, Total Time: 137, Terrain Creation: 17, Node LOS Calculations: 120
Nodes: 501, Area: 10000, Total Time: 131, Terrain Creation: 14, Node LOS Calculations: 117
Nodes: 501, Area: 10000, Total Time: 118, Terrain Creation: 12, Node LOS Calculations: 106
Nodes: 501, Area: 10000, Total Time: 132, Terrain Creation: 12, Node LOS Calculations: 120
Nodes: 501, Area: 10000, Total Time: 126, Terrain Creation: 15, Node LOS Calculations: 111
Nodes: 501, Area: 10000, Total Time: 128, Terrain Creation: 17, Node LOS Calculations: 111
Nodes: 501, Area: 10000, Total Time: 123, Terrain Creation: 15, Node LOS Calculations: 108
Nodes: 501, Area: 10000, Total Time: 121, Terrain Creation: 14, Node LOS Calculations: 107
Nodes: 501, Area: 10000, Total Time: 135, Terrain Creation: 13, Node LOS Calculations: 122
Nodes: 501, Area: 10000, Total Time: 129, Terrain Creation: 16, Node LOS Calculations: 113
Nodes: 501, Area: 10000, Total Time: 132, Terrain Creation: 14, Node LOS Calculations: 118
Nodes: 501, Area: 10000, Total Time: 121, Terrain Creation: 15, Node LOS Calculations: 106
Nodes: 501, Area: 10000, Total Time: 134, Terrain Creation: 15, Node LOS Calculations: 119
Nodes: 501, Area: 10000, Total Time: 120, Terrain Creation: 15, Node LOS Calculations: 105
Nodes: 501, Area: 10000, Total Time: 129, Terrain Creation: 14, Node LOS Calculations: 115
Nodes: 501, Area: 10000, Total Time: 143, Terrain Creation: 19, Node LOS Calculations: 124
Nodes: 601, Area: 10000, Total Time: 147, Terrain Creation: 16, Node LOS Calculations: 131
Nodes: 601, Area: 10000, Total Time: 149, Terrain Creation: 12, Node LOS Calculations: 137
Nodes: 601, Area: 10000, Total Time: 149, Terrain Creation: 14, Node LOS Calculations: 135
Nodes: 601, Area: 10000, Total Time: 156, Terrain Creation: 16, Node LOS Calculations: 140
Nodes: 601, Area: 10000, Total Time: 143, Terrain Creation: 15, Node LOS Calculations: 128
Nodes: 601, Area: 10000, Total Time: 138, Terrain Creation: 14, Node LOS Calculations: 124
Nodes: 601, Area: 10000, Total Time: 145, Terrain Creation: 14, Node LOS Calculations: 131
Nodes: 601, Area: 10000, Total Time: 152, Terrain Creation: 14, Node LOS Calculations: 138
Nodes: 601, Area: 10000, Total Time: 152, Terrain Creation: 15, Node LOS Calculations: 137
Nodes: 601, Area: 10000, Total Time: 144, Terrain Creation: 13, Node LOS Calculations: 131
Nodes: 601, Area: 10000, Total Time: 151, Terrain Creation: 15, Node LOS Calculations: 136
Nodes: 601, Area: 10000, Total Time: 157, Terrain Creation: 13, Node LOS Calculations: 144
