N36W113.hgt, ew: 100, sw: 100, (400, 3000), 3.7797169716971695%, 3.2339693360687227
N36W113.hgt, ew: 100, sw: 100, (400, 3100), 4.582547254725471%, 4.649997455948617
N36W113.hgt, ew: 100, sw: 100, (400, 3200), 3.0747154715471545%, 3.0824255755384673
N36W113.hgt, ew: 100, sw: 100, (400, 3300), 3.759047904790475%, 3.8980095464383
N36W113.hgt, ew: 100, sw: 100, (400, 3400), 4.156400640064007%, 4.660533592861507
N36W113.hgt, ew: 100, sw: 100, (400, 3500), 3.6321382138213814%, 3.699221364080784
N36W113.hgt, ew: 100, sw: 100, (500, 0), 16.01936193619363%, 11.700721422197455
N36W113.hgt, ew: 100, sw: 100, (500, 100), 10.333754375437543%, 7.155025403654166
N36W113.hgt, ew: 100, sw: 100, (500, 200), 16.044010401040122%, 11.00972522589591
N36W113.hgt, ew: 100, sw: 100, (500, 300), 13.539071907190722%, 8.712743251335041
N36W113.hgt, ew: 100, sw: 100, (500, 400), 14.927722772277228%, 13.311581448931335
N36W113.hgt, ew: 100, sw: 100, (500, 500), 4.998775877587757%, 6.2202357758411715
N36W113.hgt, ew: 100, sw: 100, (500, 600), 2.3836743674367433%, 2.5509492235778968
N36W113.hgt, ew: 100, sw: 100, (500, 700), 5.465005500550057%, 4.217479848749141
N36W113.hgt, ew: 100, sw: 100, (500, 800), 5.4737593759375915%, 5.1799333809500565
N36W113.hgt, ew: 100, sw: 100, (500, 900), 2.54915791579158%, 3.2886716574510886
N36W113.hgt, ew: 100, sw: 100, (500, 1000), 2.578670867086709%, 3.165676222006695
N36W113.hgt, ew: 100, sw: 100, (500, 1100), 5.324232423242326%, 6.032524256309849
N36W113.hgt, ew: 100, sw: 100, (500, 1200), 3.6250405040504066%, 4.14161683147261
N36W113.hgt, ew: 100, sw: 100, (500, 1300), 6.444652465246525%, 6.662805249767536
N36W113.hgt, ew: 100, sw: 100, (500, 1400), 5.864128412841285%, 4.670451817106885
N36W113.hgt, ew: 100, sw: 100, (500, 1500), 8.173314331433144%, 6.7985176576327655
N36W113.hgt, ew: 100, sw: 100, (500, 1600), 4.347814781478148%, 3.6892556389394118
N36W113.hgt, ew: 100, sw: 100, (500, 1700), 5.180300030003%, 4.356076505754922
N36W113.hgt, ew: 100, sw: 100, (500, 1800), 5.113231323132307%, 4.9942092077769855
N36W113.hgt, ew: 100, sw: 100, (500, 1900), 6.985003500350035%, 7.22140357502922
N36W113.hgt, ew: 100, sw: 100, (500, 2000), 5.701120112011202%, 5.199871423911797
N36W113.hgt, ew: 100, sw: 100, (500, 2100), 5.062021202120214%, 4.6809322164914855
N36W113.hgt, ew: 100, sw: 100, (500, 2200), 5.048224822482247%, 4.796121304284242
N36W113.hgt, ew: 100, sw: 100, (500, 2300), 5.2578567856785705%, 4.424601402207454
N36W113.hgt, ew: 100, sw: 100, (500, 2400), 19.0341504150415%, 15.000931732270104
N36W113.hgt, ew: 100, sw: 100, (500, 2500), 10.622671267126712%, 7.3790133797965165
N36W113.hgt, ew: 100, sw: 100, (500, 2600), 10.823850385038503%, 10.07119794283719
N36W113.hgt, ew: 100, sw: 100, (500, 2700), 23.160744074407432%, 18.36582257405573
N36W113.hgt, ew: 100, sw: 100, (500, 2800), 10.208447844784482%, 10.273472684333587
N36W113.hgt, ew: 100, sw: 100, (500, 2900), 5.9998019801980185%, 6.075361523500058
N36W113.hgt, ew: 100, sw: 100, (500, 3000), 6.890880088008795%, 6.765228510224475
N36W113.hgt, ew: 100, sw: 100, (500, 3100), 4.571694169416943%, 4.24047061512192
N36W113.hgt, ew: 100, sw: 100, (500, 3200), 4.9917281728172815%, 5.0858756161388134
N36W113.hgt, ew: 100, sw: 100, (500, 3300), 2.4602150215021497%, 2.3039935645952614
N36W113.hgt, ew: 100, sw: 100, (500, 3400), 5.88712271227123%, 5.469538392265473
N36W113.hgt, ew: 100, sw: 100, (500, 3500), 3.7379577957795767%, 3.466499408322731
N36W113.hgt, ew: 100, sw: 100, (600, 0), 10.309902990299019%, 8.95065228445203
N36W113.hgt, ew: 100, sw: 100, (600, 100), 4.929000900090008%, 4.187585599103885
N36W113.hgt, ew: 100, sw: 100, (600, 200), 4.494832483248328%, 4.177966315855982
N36W113.hgt, ew: 100, sw: 100, (600, 300), 6.937421742174212%, 6.268781524480445
N36W113.hgt, ew: 100, sw: 100, (600, 400), 10.643791379137914%, 7.238184781937054
N36W113.hgt, ew: 100, sw: 100, (600, 500), 3.2151335133513377%, 4.32208682404876
N36W113.hgt, ew: 100, sw: 100, (600, 600), 3.3162486248624887%, 4.005323972400432
N36W113.hgt, ew: 100, sw: 100, (600, 700), 5.458631863186318%, 7.3360482947908885
N36W113.hgt, ew: 100, sw: 100, (600, 800), 3.6305470547054703%, 5.17697374914134
N36W113.hgt, ew: 100, sw: 100, (600, 900), 6.24049904990499%, 7.068054938658015
N36W113.hgt, ew: 100, sw: 100, (600, 1000), 7.789558955895588%, 8.836235326525108
N36W113.hgt, ew: 100, sw: 100, (600, 1100), 13.139061906190618%, 12.866188630883048
N36W113.hgt, ew: 100, sw: 100, (600, 1200), 12.314720472047206%, 11.435683779854086
N36W113.hgt, ew: 100, sw: 100, (600, 1300), 3.5578167816781674%, 2.7875209761248954
N36W113.hgt, ew: 100, sw: 100, (600, 1400), 9.910666066606662%, 7.474480310039401
N36W113.hgt, ew: 100, sw: 100, (600, 1500), 7.258189818981897%, 6.120389871292455
N36W113.hgt, ew: 100, sw: 100, (600, 1600), 4.0488998899889985%, 3.579214259174559
N36W113.hgt, ew: 100, sw: 100, (600, 1700), 4.668568856885692%, 4.11560306225432
N36W113.hgt, ew: 100, sw: 100, (600, 1800), 9.19113611361136%, 6.64231910406803
N36W113.hgt, ew: 100, sw: 100, (600, 1900), 7.413803380338029%, 6.094890139740596
N36W113.hgt, ew: 100, sw: 100, (600, 2000), 5.459015901590159%, 5.095821933747101
N36W113.hgt, ew: 100, sw: 100, (600, 2100), 3.912660266026601%, 3.7632142340306807
N36W113.hgt, ew: 100, sw: 100, (600, 2200), 7.630539053905391%, 7.037423191884114
N36W113.hgt, ew: 100, sw: 100, (600, 2300), 6.233015301530153%, 5.574867879291302
N36W113.hgt, ew: 100, sw: 100, (600, 2400), 3.071556155615562%, 2.752625002796432
N36W113.hgt, ew: 100, sw: 100, (600, 2500), 37.25919191919192%, 22.11579580248639
N36W113.hgt, ew: 100, sw: 100, (600, 2600), 9.01340534053405%, 8.247901643064711
N36W113.hgt, ew: 100, sw: 100, (600, 2700), 6.705053505350531%, 6.074500407352083
N36W113.hgt, ew: 100, sw: 100, (600, 2800), 6.217656765676566%, 6.6182308737878595
N36W113.hgt, ew: 100, sw: 100, (600, 2900), 2.7749004900490037%, 2.4738206788101564
N36W113.hgt, ew: 100, sw: 100, (600, 3000), 3.4026862686268626%, 3.0455397570475733
N36W113.hgt, ew: 100, sw: 100, (600, 3100), 5.896157615761576%, 4.889071354145001
N36W113.hgt, ew: 100, sw: 100, (600, 3200), 7.040658065806581%, 6.190492987580603
N36W113.hgt, ew: 100, sw: 100, (600, 3300), 5.813966396639664%, 6.227014948038244
N36W113.hgt, ew: 100, sw: 100, (600, 3400), 6.014519451945193%, 6.653076353756048
N36W113.hgt, ew: 100, sw: 100, (600, 3500), 3.977051705170517%, 4.25596033116009
N36W113.hgt, ew: 100, sw: 100, (700, 0), 7.12992299229923%, 6.72068960907745
N36W113.hgt, ew: 100, sw: 100, (700, 100), 11.039948994899492%, 10.0803904621403
N36W113.hgt, ew: 100, sw: 100, (700, 200), 3.1107820782078206%, 2.5180565324387
N36W113.hgt, ew: 100, sw: 100, (700, 300), 18.25715471547155%, 12.091357207593104
N36W113.hgt, ew: 100, sw: 100, (700, 400), 14.290484048404837%, 11.13844958478933
N36W113.hgt, ew: 100, sw: 100, (700, 500), 4.436947694769475%, 5.816295891072493
N36W113.hgt, ew: 100, sw: 100, (700, 600), 3.154940494049406%, 3.9516878598895184
N36W113.hgt, ew: 100, sw: 100, (700, 700), 2.6901240124012396%, 3.3743591239295516
N36W113.hgt, ew: 100, sw: 100, (700, 800), 4.003044304430444%, 4.799207782219485
