Time 17.45s, nodes: 10, transmission: 10000, radiomedium: UDGM, acv: 9.2299309931%
Time 16.94s, nodes: 10, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 89.5129752975%
Time 17.36s, nodes: 10, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 89.5129752975%
Time 17.65s, nodes: 10, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 89.5129752975%
Time 18.9s, nodes: 10, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 89.5129752975%
Time 16.39s, nodes: 10, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 89.5129752975%
Time 16.85s, nodes: 10, transmission: 10000, radiomedium: UDGM, acv: 89.5129752975%
Time 16.88s, nodes: 10, transmission: 10000, radiomedium: UDGM, acv: 89.5129752975%
Time 18.5s, nodes: 10, transmission: 10000, radiomedium: UDGM, acv: 89.5129752975%
Time 17.51s, nodes: 10, transmission: 10000, radiomedium: UDGM, acv: 89.5129752975%
Time 16.84s, nodes: 10, transmission: 10000, radiomedium: UDGM, acv: 89.5129752975%
Time 19.86s, nodes: 20, transmission: 1, radiomedium: TerrainLOSMedium, acv: 9.2299309931%
Time 22.01s, nodes: 20, transmission: 1, radiomedium: TerrainLOSMedium, acv: 9.2299309931%
Time 21.06s, nodes: 20, transmission: 1, radiomedium: TerrainLOSMedium, acv: 9.2299309931%
Time 19.21s, nodes: 20, transmission: 1, radiomedium: TerrainLOSMedium, acv: 9.2299309931%
Time 22.05s, nodes: 20, transmission: 1, radiomedium: TerrainLOSMedium, acv: 9.2299309931%
Time 19.89s, nodes: 20, transmission: 1, radiomedium: UDGM, acv: 9.2299309931%
Time 21.03s, nodes: 20, transmission: 1, radiomedium: UDGM, acv: 9.2299309931%
Time 20.35s, nodes: 20, transmission: 1, radiomedium: UDGM, acv: 9.2299309931%
Time 18.78s, nodes: 20, transmission: 1, radiomedium: UDGM, acv: 9.2299309931%
