Time 15.25s, nodes: 20, transmission: 10000, radiomedium: UDGM, acv: 100.0%, output_dag: true
Time 15.2s, nodes: 20, transmission: 10000, radiomedium: UDGM, acv: 100.0%, output_dag: true
Time 15.25s, nodes: 20, transmission: 10000, radiomedium: UDGM, acv: 100.0%, output_dag: false
Time 15.3s, nodes: 20, transmission: 10000, radiomedium: UDGM, acv: 100.0%, output_dag: false
Time 16.07s, nodes: 20, transmission: 10000, radiomedium: UDGM, acv: 100.0%, output_dag: false
Time 15.83s, nodes: 20, transmission: 10000, radiomedium: UDGM, acv: 100.0%, output_dag: false
Time 16.4s, nodes: 20, transmission: 10000, radiomedium: UDGM, acv: 100.0%, output_dag: false
Time 8.14s, nodes: 10, transmission: 0, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: true
Time 8.06s, nodes: 10, transmission: 0, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: true
Time 7.94s, nodes: 10, transmission: 0, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: true
Time 8.04s, nodes: 10, transmission: 0, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: true
Time 8.09s, nodes: 10, transmission: 0, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: true
Time 7.96s, nodes: 10, transmission: 0, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: false
Time 7.89s, nodes: 10, transmission: 0, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: false
Time 7.96s, nodes: 10, transmission: 0, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: false
Time 8.06s, nodes: 10, transmission: 0, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: false
Time 8.56s, nodes: 10, transmission: 0, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: false
Time 7.95s, nodes: 10, transmission: 0, radiomedium: UDGM, acv: 100.0%, output_dag: true
Time 9.63s, nodes: 10, transmission: 0, radiomedium: UDGM, acv: 100.0%, output_dag: true
Time 8.66s, nodes: 10, transmission: 0, radiomedium: UDGM, acv: 100.0%, output_dag: true
Time 7.95s, nodes: 10, transmission: 0, radiomedium: UDGM, acv: 100.0%, output_dag: true
Time 8.06s, nodes: 10, transmission: 0, radiomedium: UDGM, acv: 100.0%, output_dag: true
Time 7.99s, nodes: 10, transmission: 0, radiomedium: UDGM, acv: 100.0%, output_dag: false
Time 8.04s, nodes: 10, transmission: 0, radiomedium: UDGM, acv: 100.0%, output_dag: false
Time 8.02s, nodes: 10, transmission: 0, radiomedium: UDGM, acv: 100.0%, output_dag: false
Time 8.2s, nodes: 10, transmission: 0, radiomedium: UDGM, acv: 100.0%, output_dag: false
Time 7.98s, nodes: 10, transmission: 0, radiomedium: UDGM, acv: 100.0%, output_dag: false
Time 10.24s, nodes: 10, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: true
Time 10.41s, nodes: 10, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: true
Time 10.17s, nodes: 10, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: true
Time 10.11s, nodes: 10, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: true
Time 10.35s, nodes: 10, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: true
Time 10.22s, nodes: 10, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: false
Time 10.24s, nodes: 10, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: false
Time 10.17s, nodes: 10, transmission: 10000, radiomedium: TerrainLOSMedium, acv: 100.0%, output_dag: false
